protected_attr,feature,auc,mi,abs_corr
white,hours_per_week,0.5561,0.0088,0.0457
white,age,0.5208,0.0023,0.0295
white,capital_gain,0.5102,0.0028,0.0141
white,capital_loss,0.5054,0.0,0.0194
white,workclass,0.5452,0.01,0.0577
white,education,0.5094,0.0034,0.0219
white,education_num,0.5387,0.0039,0.0478
white,marital_status,0.5691,0.0089,0.0811
white,relationship,0.609,0.0156,0.1325
white,native_country,0.5716,0.0542,0.1313
white,occupation,0.5058,0.0115,0.006
black,hours_per_week,0.5671,0.0073,0.0473
black,age,0.5112,0.0016,0.0155
black,capital_gain,0.5129,0.003,0.0209
black,capital_loss,0.5067,0.0,0.0201
black,workclass,0.5585,0.0107,0.061
black,education,0.5084,0.0054,0.0238
black,education_num,0.5764,0.0071,0.073
black,marital_status,0.5844,0.0123,0.082
black,relationship,0.6356,0.0147,0.1373
black,native_country,0.5042,0.0208,0.0009
black,occupation,0.5101,0.0107,0.0091
asian,hours_per_week,0.5191,0.0024,0.0074
asian,age,0.5131,0.0011,0.009
asian,capital_gain,0.5012,0.0,0.0114
asian,capital_loss,0.5025,0.0007,0.0041
asian,workclass,0.5093,0.0071,0.0042
asian,education,0.5014,0.0052,0.0121
asian,education_num,0.6129,0.0041,0.0644
asian,marital_status,0.5266,0.0049,0.0177
asian,relationship,0.5176,0.0037,0.0121
asian,native_country,0.7577,0.0821,0.2221
asian,occupation,0.5137,0.002,0.0079
amer_indian,hours_per_week,0.517,0.0032,0.001
amer_indian,age,0.5358,0.0005,0.0136
amer_indian,capital_gain,0.5072,0.0003,0.007
amer_indian,capital_loss,0.5126,0.0004,0.0119
amer_indian,workclass,0.5636,0.0071,0.0238
amer_indian,education,0.5083,0.0031,0.0029
amer_indian,education_num,0.5751,0.0022,0.0261
amer_indian,marital_status,0.5038,0.0038,0.0001
amer_indian,relationship,0.5791,0.0028,0.0269
amer_indian,native_country,0.5307,0.011,0.0215
amer_indian,occupation,0.5208,0.0006,0.0068
other_race,hours_per_week,0.5492,0.0028,0.0088
other_race,age,0.6061,0.0015,0.0325
other_race,capital_gain,0.514,0.0008,0.001
other_race,capital_loss,0.5048,0.0,0.0053
other_race,workclass,0.5252,0.0058,0.0084
other_race,education,0.5682,0.0033,0.0279
other_race,education_num,0.6035,0.0029,0.0436
other_race,marital_status,0.5495,0.0043,0.0149
other_race,relationship,0.558,0.0021,0.0163
other_race,native_country,0.7177,0.018,0.1057
other_race,occupation,0.5076,0.0017,0.0015
gender_male,hours_per_week,0.6533,0.0416,0.2285
gender_male,age,0.562,0.0085,0.0885
gender_male,capital_gain,0.5186,0.0077,0.0465
gender_male,capital_loss,0.5093,0.0067,0.0446
gender_male,workclass,0.5533,0.0175,0.0899
gender_male,education,0.5204,0.0087,0.0275
gender_male,education_num,0.5008,0.006,0.0076
gender_male,marital_status,0.5885,0.1162,0.1287
gender_male,relationship,0.8605,0.2703,0.5794
gender_male,native_country,0.5038,0.0099,0.01
gender_male,occupation,0.5445,0.0995,0.0747
