feature,auc_black,mi_black,corr_black,pval_black,n_valid_black,n_missing_black,auc_asian,mi_asian,corr_asian,pval_asian,n_valid_asian,n_missing_asian,auc_hisp,mi_hisp,corr_hisp,pval_hisp,n_valid_hisp,n_missing_hisp,auc_other,mi_other,corr_other,pval_other,n_valid_other,n_missing_other,auc_male,mi_male,corr_male,pval_male,n_valid_male,n_missing_male
race2,0.9992,0.2283,0.6484,0.0,17925,0,0.9663,0.0993,0.4813,0.0,17925,0,0.9496,0.011,0.1637,0.0,17925,0,0.9557,0.0423,0.3185,0.0,17925,0,0.5153,0.0046,0.0417,0.0,17925,0
race1,0.9562,0.2283,0.5877,0.0,17925,0,0.9992,0.1694,0.6627,0.0,17925,0,0.8444,0.0202,0.0345,4e-06,17925,0,0.8491,0.0907,0.0671,0.0,17925,0,0.5281,0.0048,0.0776,0.0,17925,0
race,0.9517,0.2284,0.6082,0.0,17912,13,0.9949,0.1695,0.6347,0.0,17912,13,1.0,0.0307,0.2644,0.0,17912,13,0.2677,0.0907,0.0307,3.9e-05,17912,13,0.5285,0.0049,0.0754,0.0,17912,13
index6040,0.8656,0.0648,0.3625,0.0,17925,0,0.5262,0.0015,0.0144,0.053562,17925,0,0.7137,0.0021,0.0592,0.0,17925,0,0.5894,0.0017,0.0472,0.0,17925,0,0.5037,0.0008,0.0135,0.070397,17925,0
indxgrp2,0.8596,0.0635,0.3793,0.0,17925,0,0.5254,0.0014,0.0178,0.017426,17925,0,0.7053,0.0016,0.0588,0.0,17925,0,0.5856,0.0014,0.0472,0.0,17925,0,0.5028,0.0005,0.0103,0.168898,17925,0
indxgrp,0.8457,0.0624,0.4414,0.0,17925,0,0.54,0.0011,0.026,0.00051,17925,0,0.6864,0.0016,0.0641,0.0,17925,0,0.5836,0.0013,0.0532,0.0,17925,0,0.5019,0.0004,0.0141,0.059898,17925,0
lsat,0.8412,0.0553,0.3396,0.0,17925,0,0.5297,0.0013,0.018,0.01611,17925,0,0.6831,0.0016,0.0496,0.0,17925,0,0.58,0.0014,0.0428,0.0,17925,0,0.5449,0.0037,0.0818,0.0,17925,0
zgpa,0.7904,0.0352,0.2552,0.0,16909,1016,0.6384,0.0047,0.0912,0.0,16909,1016,0.7025,0.0015,0.0508,0.0,16909,1016,0.5759,0.001,0.0346,7e-06,16909,1016,0.4988,0.0006,0.0005,0.951171,16909,1016
decile3,0.7839,0.0335,0.2348,0.0,16662,1263,0.6401,0.0048,0.0946,0.0,16662,1263,0.7028,0.0016,0.0493,0.0,16662,1263,0.5768,0.001,0.0356,4e-06,16662,1263,0.5016,0.0002,0.0028,0.716912,16662,1263
zfygpa,0.7777,0.0341,0.2494,0.0,17142,783,0.6272,0.0044,0.0831,0.0,17142,783,0.7022,0.0019,0.0531,0.0,17142,783,0.5717,0.0015,0.0347,5e-06,17142,783,0.5252,0.0017,0.0419,0.0,17142,783
decile1b,0.7731,0.0309,0.2256,0.0,16662,1263,0.6258,0.0042,0.0849,0.0,16662,1263,0.6982,0.0016,0.0481,0.0,16662,1263,0.5713,0.0007,0.0331,2e-05,16662,1263,0.5234,0.0011,0.0405,0.0,16662,1263
decile1,0.7713,0.0315,0.2294,0.0,17064,861,0.6271,0.0044,0.0864,0.0,17064,861,0.6941,0.0015,0.0475,0.0,17064,861,0.5674,0.0009,0.0318,3.2e-05,17064,861,0.5243,0.0011,0.0421,0.0,17064,861
gpa,0.7272,0.0204,0.2052,0.0,17925,0,0.5021,0.0003,0.0014,0.848546,17925,0,0.6715,0.0015,0.046,0.0,17925,0,0.5649,0.0009,0.0299,6.3e-05,17925,0,0.5794,0.0107,0.1408,0.0,17925,0
ugpa,0.7272,0.0204,0.2052,0.0,17925,0,0.5021,0.0003,0.0014,0.848546,17925,0,0.6715,0.0015,0.046,0.0,17925,0,0.5649,0.0009,0.0299,6.3e-05,17925,0,0.5794,0.0107,0.1408,0.0,17925,0
