feature,auc_black,mi_black,corr_black,pval_black,auc_asian,mi_asian,corr_asian,pval_asian,auc_hisp,mi_hisp,corr_hisp,pval_hisp,auc_other,mi_other,corr_other,pval_other,auc_male,mi_male,corr_male,pval_male
index6040,0.8656,0.0648,0.3625,0.0,0.5262,0.0015,0.0144,0.053562,0.7137,0.0021,0.0592,0.0,0.5894,0.0017,0.0472,0.0,0.5037,0.0008,0.0135,0.070397
indxgrp2,0.8596,0.0635,0.3793,0.0,0.5254,0.0014,0.0178,0.017426,0.7053,0.0016,0.0588,0.0,0.5856,0.0014,0.0472,0.0,0.5028,0.0005,0.0103,0.168898
indxgrp,0.8457,0.0624,0.4414,0.0,0.54,0.0011,0.026,0.00051,0.6864,0.0016,0.0641,0.0,0.5836,0.0013,0.0532,0.0,0.5019,0.0004,0.0141,0.059898
lsat,0.8412,0.0553,0.3396,0.0,0.5297,0.0013,0.018,0.01611,0.6831,0.0016,0.0496,0.0,0.58,0.0014,0.0428,0.0,0.5449,0.0037,0.0818,0.0
zgpa,0.7753,0.0323,0.2466,0.0,0.6305,0.0043,0.0874,0.0,0.695,0.0014,0.0496,0.0,0.5718,0.0009,0.0335,7e-06,0.4988,0.0006,0.0004,0.9554
zfygpa,0.7674,0.0322,0.2431,0.0,0.6223,0.0042,0.0806,0.0,0.6902,0.0018,0.0513,0.0,0.5693,0.0014,0.0338,6e-06,0.5246,0.0016,0.041,0.0
decile3,0.7635,0.0306,0.2239,0.0,0.6288,0.0044,0.0886,0.0,0.6911,0.0015,0.0475,0.0,0.5717,0.001,0.034,5e-06,0.5012,0.0003,0.0018,0.807675
decile1,0.7608,0.0294,0.2234,0.0,0.6218,0.0041,0.0834,0.0,0.6822,0.0014,0.0457,0.0,0.5641,0.0008,0.0306,4.1e-05,0.5234,0.0011,0.0404,0.0
decile1b,0.7534,0.0279,0.2151,0.0,0.6157,0.0038,0.0794,0.0,0.6859,0.0014,0.0464,0.0,0.5671,0.0006,0.0316,2.4e-05,0.522,0.001,0.0381,0.0
ugpa,0.7272,0.0204,0.2052,0.0,0.5021,0.0003,0.0014,0.848546,0.6715,0.0015,0.046,0.0,0.5649,0.0009,0.0299,6.3e-05,0.5794,0.0107,0.1408,0.0
fam_inc,0.6752,0.0131,0.1667,0.0,0.5315,0.0006,0.0287,0.000121,0.6807,0.0012,0.0509,0.0,0.5626,0.0009,0.0354,2e-06,0.525,0.0015,0.0468,0.0
cluster,0.5734,0.016,0.0838,0.0,0.5846,0.0035,0.0526,0.0,0.5727,0.0007,0.0163,0.029041,0.529,0.0002,0.0141,0.058315,0.5149,0.0011,0.0279,0.000182
tier,0.5367,0.016,0.0599,0.0,0.6021,0.0036,0.0735,0.0,0.5022,0.0007,0.0058,0.440559,0.5229,0.0002,0.0092,0.21939,0.5052,0.0012,0.0076,0.308116
DOB_yr,0.5203,0.001,0.0091,0.223112,0.5673,0.0022,0.0517,0.0,0.6243,0.0005,0.0238,0.00142,0.5165,0.0003,0.0044,0.553785,0.4773,0.005,0.0256,0.000617
grad,0.5053,0.0005,0.0393,0.0,0.503,0.0001,0.0184,0.013993,0.498,0.0,0.0043,0.560954,0.502,0.0001,0.0085,0.257907,0.5007,0.0001,0.0092,0.217482
fulltime,0.5033,0.0,0.006,0.422426,0.5163,0.0003,0.0243,0.001126,0.509,0.0,0.0047,0.525,0.5071,0.0,0.0071,0.338729,0.5006,0.0,0.0023,0.753861
parttime,0.5033,0.0,0.006,0.422426,0.5163,0.0003,0.0243,0.001126,0.509,0.0,0.0047,0.525,0.5071,0.0,0.0071,0.338729,0.5006,0.0,0.0023,0.753861
Dropout,0.5,0.0,0.0019,0.799731,0.5,0.0,0.0015,0.837339,0.5,0.0,0.0005,0.944326,0.5,0.0,0.001,0.891913,0.5001,0.0,0.0084,0.258997
age,0.4982,0.0011,0.0014,0.849515,0.5567,0.0023,0.0479,0.0,0.6037,0.0004,0.0212,0.004494,0.5105,0.0005,0.0036,0.62625,0.4826,0.0042,0.0246,0.000996
